node,t,dlmp_signal,spot_eur_mwh,adder_signal
28,12,37.89981876354618,29.03,8.869818763546178
28,13,35.202112734512326,29.03,6.172112734512325
28,14,29.218318048888726,29.03,0.18831804888872483
28,15,33.68494676029721,29.03,4.654946760297207
28,16,28.387229381559106,28.2,0.1872293815591064
28,17,28.3870621379215,28.2,0.18706213792150095
28,18,28.38711340476134,28.2,0.18711340476134097
28,19,28.38936978560884,28.2,0.18936978560883944
28,20,44.67678991552408,43.75,0.9267899155240826
28,21,44.68289933807289,43.75,0.9328993380728932
28,22,44.69175542660808,43.75,0.9417554266080828
28,23,44.70600523543594,43.75,0.9560052354359385
28,24,52.77347847688154,51.79,0.9834784768815439
28,25,52.77348940181132,51.79,0.9834894018113189
28,26,52.77349410261032,51.79,0.9834941026103223
28,27,52.773495188983965,51.79,0.9834951889839658
28,28,53.38349551329164,52.4,0.9834955132916434
28,29,53.383495567448854,52.4,0.9834955674488555
28,30,53.38349558353998,52.4,0.9834955835399839
28,31,53.383495581618256,52.4,0.9834955816182571
28,32,50.40349558716762,49.42,0.9834955871676172
28,33,50.420743255667304,49.42,1.0007432556673024
28,34,51.40389269892765,49.42,1.9838926989276473
28,35,50.42068246201879,49.42,1.000682462018787
28,36,50.380652028962714,49.38,1.0006520289627119
28,37,50.38062255430267,49.38,1.000622554302666
28,38,50.380595069633195,49.38,1.0005950696331922
28,39,50.38057071904285,49.38,1.0005707190428481
28,40,47.380550743777675,46.38,1.0005507437776728
28,41,47.38053607671598,46.38,1.0005360767159743
28,42,47.38052777734572,46.38,1.0005277773457166
28,43,47.380528098727574,46.38,1.000528098727571
28,44,37.280534114307606,36.28,1.0005341143076052
28,45,37.28054782961223,36.28,1.0005478296122305
28,46,37.2805686524357,36.28,1.000568652435696
28,47,37.280595524998006,36.28,1.0005955249980047
28,48,36.58062937243379,35.58,1.0006293724337922
28,49,36.58066915643069,35.58,1.000669156430689
28,50,36.563495592408486,35.58,0.983495592408488
28,51,36.5634955850181,35.58,0.9834955850181046
28,52,36.20349558060218,35.22,0.983495580602181
28,53,36.20349557346737,35.22,0.9834955734673727
28,54,36.20349557131363,35.22,0.9834955713136324
28,55,36.20349556199242,35.22,0.9834955619924202
28,56,35.903495560493084,34.92,0.9834955604930826
28,57,35.90349556174782,34.92,0.9834955617478158
28,58,40.772560760502536,34.92,5.852560760502534
28,59,44.113822448634664,34.92,9.193822448634663
28,60,63.21445022190778,34.76,28.454450221907784
28,61,46.497447622690274,34.76,11.737447622690276
28,62,36.712417285633876,34.76,1.952417285633878
28,63,82.63564361490712,34.76,47.875643614907126
28,64,48.557237233711966,40.47,8.087237233711967
28,65,46.98732763264601,40.47,6.517327632646008
28,66,67.48524561321183,40.47,27.01524561321183
28,67,46.97311077943486,40.47,6.503110779434863
28,68,60.125257657104285,48.01,12.115257657104287
28,69,56.52975984408005,48.01,8.519759844080049
28,70,52.88368255896596,48.01,4.87368255896596
28,71,86.39186402074367,48.01,38.38186402074367
28,72,55.48960244471994,51.61,3.879602444719943
28,73,71.00475290939238,51.61,19.39475290939238
28,74,81.2257740337466,51.61,29.615774033746604
28,75,55.64765919026045,51.61,4.037659190260449
28,76,50.026552209897396,47.16,2.8665522098973995
28,77,49.786047374604124,47.16,2.626047374604127
28,78,79.50801622136206,47.16,32.34801622136206
28,79,51.60591306578239,47.16,4.445913065782392
28,80,38.11349551288224,37.13,0.9834955128822358
28,81,38.113495499823884,37.13,0.9834954998238814
28,82,38.1134954852201,37.13,0.9834954852200966
28,83,38.11349545840102,37.13,0.9834954584010163
28,84,34.873649437000125,34.69,0.1836494370001276
28,85,34.847862895218015,34.69,0.15786289521801677
