wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1788504448.376727,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.026454,0
1788504448.588229,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1401,24.101955,0
1788504448.674187,,ciclo3_AM_AC_AD,dso,market,propose,1342,22.196230,0
1788504448.903009,,,market,concentrator_alimentador_650,reject-proposal,1320,21.642529,0
1788504448.904018,,,market,dso,reject-proposal,1000,16.452517,0
1788504448.960870,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.359763,0
1788504448.964151,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.561995,0
1788504449.240885,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1313,21.255492,0
1788504449.294252,,ciclo3_AM_AC_AD,dso,market,propose,1252,22.147505,0
1788504449.522972,,,market,concentrator_alimentador_650,reject-proposal,1423,25.116393,0
1788504449.523559,,,market,dso,reject-proposal,1444,25.579021,0
1788504449.579645,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.477373,0
1788504449.582758,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.623538,0
1788504449.837386,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1170,20.997124,0
1788504449.902342,,ciclo3_AM_AC_AD,dso,market,propose,1124,16.543566,0
1788504450.073194,,,market,concentrator_alimentador_650,reject-proposal,1373,21.013281,0
1788504450.073804,,,market,dso,reject-proposal,1166,18.461600,0
1788504450.128465,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.887673,0
1788504450.130984,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.271653,0
1788504450.330668,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1360,22.732497,0
1788504450.407614,,ciclo3_AM_AC_AD,dso,market,propose,1445,22.752638,0
1788504450.640964,,,market,concentrator_alimentador_650,reject-proposal,1032,17.703424,0
1788504450.641272,,,market,dso,reject-proposal,1097,16.514145,0
1788504450.696625,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.826750,0
1788504450.699527,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.461973,0
1788504450.958290,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1469,25.062137,0
1788504451.057471,,ciclo3_AM_AC_AD,dso,market,propose,1290,20.236114,0
1788504451.266753,,,market,concentrator_alimentador_650,reject-proposal,1113,18.090562,0
1788504451.267565,,,market,dso,reject-proposal,1122,19.621078,0
1788504451.322945,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.765789,0
1788504451.325581,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.898555,0
1788504451.531667,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1411,23.408631,0
1788504451.673727,,ciclo3_AM_AC_AD,dso,market,propose,1495,22.276574,0
1788504451.902540,,,market,concentrator_alimentador_650,reject-proposal,1072,16.886369,0
1788504451.903248,,,market,dso,reject-proposal,1411,23.863965,0
1788504451.958278,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.059362,0
1788504451.961128,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.846192,0
1788504452.178596,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1278,21.799853,0
1788504452.297366,,ciclo3_AM_AC_AD,dso,market,propose,1229,19.220753,0
1788504452.495913,,,market,concentrator_alimentador_650,reject-proposal,1046,19.749081,0
1788504452.496687,,,market,dso,reject-proposal,1041,19.884348,0
1788504452.552208,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.055621,0
1788504452.555274,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.683565,0
1788504452.747698,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1163,21.971467,0
