wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1789091369.342200,76,ciclo3_AM_AC_AD,dso,market,propose,1441,22.840554,0
1789091369.344723,76,ciclo3_AM_AC_AD,concentrator_trafo_1_3,market,propose,1205,41.796623,0
1789091369.348545,76,ciclo3_AM_AC_AD,concentrator_trafo_2_12,market,propose,1404,23.473487,0
1789091369.832970,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer3,cfp,100,2.399764,0
1789091369.833998,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer4,cfp,100,3.886702,0
1789091369.834940,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer5,cfp,100,0.812603,0
1789091369.835837,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer6,cfp,100,1.062302,0
1789091369.836608,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer7,cfp,100,0.545114,0
1789091369.837334,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer8,cfp,100,2.602724,0
1789091369.838000,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer9,cfp,100,2.955554,0
1789091369.838418,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer10,cfp,100,1.208274,0
1789091369.838988,77,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer11,cfp,100,1.126117,0
1789091369.840176,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer12,cfp,100,3.494786,0
1789091369.840425,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer13,cfp,100,3.561842,0
1789091369.840643,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer14,cfp,100,1.057918,0
1789091369.840837,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer15,cfp,100,4.011856,0
1789091369.841022,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer16,cfp,100,2.592788,0
1789091369.841207,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer17,cfp,100,1.754776,0
1789091369.841387,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer18,cfp,100,2.013216,0
1789091369.841576,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer19,cfp,100,3.769819,0
1789091369.841763,77,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer20,cfp,100,1.973418,0
1789091369.846493,77,ciclo1_AC_AP,prosumer7,concentrator_trafo_1_3,propose,234,3.259480,0
1789091369.849209,77,ciclo1_AC_AP,prosumer5,concentrator_trafo_1_3,propose,114,0.089259,0
1789091369.851498,77,ciclo1_AC_AP,prosumer6,concentrator_trafo_1_3,propose,431,6.160852,0
1789091369.855771,77,ciclo1_AC_AP,prosumer11,concentrator_trafo_1_3,propose,364,5.209942,0
1789091369.857763,77,ciclo1_AC_AP,prosumer10,concentrator_trafo_1_3,propose,149,5.110273,0
1789091369.859057,77,ciclo1_AC_AP,prosumer14,concentrator_trafo_2_12,propose,141,5.100434,0
1789091369.861931,77,ciclo1_AC_AP,prosumer3,concentrator_trafo_1_3,propose,270,7.479271,0
1789091369.863117,77,ciclo1_AC_AP,prosumer17,concentrator_trafo_2_12,propose,283,6.144073,0
1789091369.865847,77,ciclo1_AC_AP,prosumer20,concentrator_trafo_2_12,propose,150,8.905505,0
1789091369.867336,77,ciclo1_AC_AP,prosumer18,concentrator_trafo_2_12,propose,341,7.669051,0
1789091369.868951,77,ciclo1_AC_AP,prosumer8,concentrator_trafo_1_3,propose,116,4.922077,0
1789091369.871115,77,ciclo1_AC_AP,prosumer16,concentrator_trafo_2_12,propose,178,4.892129,0
1789091369.872504,77,ciclo1_AC_AP,prosumer9,concentrator_trafo_1_3,propose,364,5.870199,0
1789091369.875665,77,ciclo1_AC_AP,prosumer4,concentrator_trafo_1_3,propose,420,8.509565,0
1789091369.877922,77,ciclo1_AC_AP,prosumer12,concentrator_trafo_2_12,propose,246,5.306082,0
1789091369.879286,77,ciclo1_AC_AP,prosumer13,concentrator_trafo_2_12,propose,118,2.063790,0
1789091369.881214,77,ciclo1_AC_AP,prosumer19,concentrator_trafo_2_12,propose,100,1.378817,0
1789091369.882634,77,ciclo1_AC_AP,prosumer15,concentrator_trafo_2_12,propose,292,12.808061,0
1789091370.015955,77,ciclo2_AD_AC,dso,concentrator_trafo_1_3,cfp,100,7.504296,0
1789091370.016989,77,ciclo2_AD_AC,dso,concentrator_trafo_2_12,cfp,100,5.691581,0
1789091370.078735,77,ciclo2_AD_AC,concentrator_trafo_2_12,dso,propose,1172,42.549588,0
1789091370.097155,77,ciclo2_AD_AC,concentrator_trafo_1_3,dso,propose,1080,37.088170,0
1789091370.510336,77,ciclo3_AM_AC_AD,market,dso,cfp,100,2.965101,0
1789091370.549647,77,ciclo3_AM_AC_AD,dso,market,propose,1483,26.218870,0
1789091370.819040,77,ciclo3_AM_AC_AD,market,concentrator_trafo_1_3,cfp,100,5.991270,0
1789091370.819953,77,ciclo3_AM_AC_AD,market,concentrator_trafo_2_12,cfp,100,2.661987,0
1789091370.820729,77,ciclo3_AM_AC_AD,market,dso,cfp,100,0.155255,0
1789091370.849113,77,ciclo3_AM_AC_AD,dso,market,propose,1280,20.484344,0
1789091370.865958,77,ciclo3_AM_AC_AD,concentrator_trafo_2_12,market,propose,1356,22.037646,0
1789091370.903913,77,ciclo3_AM_AC_AD,concentrator_trafo_1_3,market,propose,1075,38.680745,0
1789091371.361702,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer3,cfp,100,2.340748,0
1789091371.362929,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer4,cfp,100,3.911812,0
1789091371.364153,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer5,cfp,100,0.019748,0
1789091371.364972,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer6,cfp,100,0.014828,0
1789091371.365266,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer7,cfp,100,3.927465,0
1789091371.365427,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer8,cfp,100,6.680853,0
1789091371.365625,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer9,cfp,100,3.233315,0
1789091371.365895,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer10,cfp,100,0.254153,0
1789091371.366126,78,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer11,cfp,100,3.589931,0
1789091371.366876,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer12,cfp,100,1.185292,0
1789091371.367009,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer13,cfp,100,1.156427,0
1789091371.367121,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer14,cfp,100,3.279097,0
1789091371.367231,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer15,cfp,100,2.319558,0
1789091371.367336,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer16,cfp,100,1.612212,0
1789091371.367441,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer17,cfp,100,4.013158,0
1789091371.367623,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer18,cfp,100,0.487148,0
1789091371.368017,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer19,cfp,100,0.131852,0
1789091371.368320,78,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer20,cfp,100,5.422537,0
1789091371.371489,78,ciclo1_AC_AP,prosumer5,concentrator_trafo_1_3,propose,182,5.811708,0
1789091371.372720,78,ciclo1_AC_AP,prosumer6,concentrator_trafo_1_3,propose,189,2.301505,0
1789091371.374690,78,ciclo1_AC_AP,prosumer10,concentrator_trafo_1_3,propose,499,7.724281,0
1789091371.376744,78,ciclo1_AC_AP,prosumer19,concentrator_trafo_2_12,propose,181,5.308866,0
1789091371.378504,78,ciclo1_AC_AP,prosumer18,concentrator_trafo_2_12,propose,427,7.863002,0
1789091371.380425,78,ciclo1_AC_AP,prosumer13,concentrator_trafo_2_12,propose,448,6.894921,0
1789091371.381803,78,ciclo1_AC_AP,prosumer12,concentrator_trafo_2_12,propose,224,5.643966,0
1789091371.385755,78,ciclo1_AC_AP,prosumer16,concentrator_trafo_2_12,propose,419,9.188226,0
1789091371.387445,78,ciclo1_AC_AP,prosumer3,concentrator_trafo_1_3,propose,268,5.798254,0
1789091371.392251,78,ciclo1_AC_AP,prosumer15,concentrator_trafo_2_12,propose,112,5.254503,0
1789091371.401014,78,ciclo1_AC_AP,prosumer9,concentrator_trafo_1_3,propose,347,5.497556,0
1789091371.403106,78,ciclo1_AC_AP,prosumer14,concentrator_trafo_2_12,propose,420,9.055783,0
1789091371.404778,78,ciclo1_AC_AP,prosumer11,concentrator_trafo_1_3,propose,447,10.077772,0
