node,t,dlmp_signal,spot_eur_mwh,adder_signal
8,41,47.45384157210158,46.38,1.0738415721015784
8,42,47.45384157113861,46.38,1.0738415711386082
8,43,47.45384157401924,46.38,1.0738415740192409
8,44,37.35384157047168,36.28,1.0738415704716786
8,45,37.353841566619295,36.28,1.0738415666192935
8,46,37.35384157191319,36.28,1.0738415719131922
8,47,37.35384156704349,36.28,1.0738415670434875
8,48,36.65384156934831,35.58,1.0738415693483105
8,49,36.653841571850045,35.58,1.0738415718500463
8,50,36.65384156646102,35.58,1.0738415664610201
8,51,36.65384156744556,35.58,1.0738415674455624
8,52,36.33404484614077,35.22,1.1140448461407715
8,53,36.33427410102198,35.22,1.1142741010219837
8,54,36.33459479662592,35.22,1.1145947966259229
8,55,36.334606192725985,35.22,1.1146061927259865
8,56,35.993841564536964,34.92,1.0738415645369628
8,57,35.99384157196435,34.92,1.0738415719643513
8,58,40.88704494436589,34.92,5.967044944365888
8,59,44.35422649681636,34.92,9.434226496816358
8,60,59.0158676496401,34.76,24.255867649640102
8,61,55.708024849431325,34.76,20.948024849431327
8,62,40.89962540736574,34.76,6.139625407365742
8,63,78.89858640735818,34.76,44.13858640735818
8,64,47.7917805665803,40.47,7.321780566580301
8,65,46.88249172755805,40.47,6.412491727558049
8,66,66.71329305204895,40.47,26.243293052048955
8,67,46.76153517092149,40.47,6.291535170921492
8,68,59.99413378096087,48.01,11.984133780960875
8,69,56.40245164403719,48.01,8.392451644037195
8,70,52.45777194004011,48.01,4.447771940040113
8,71,85.23586771289877,48.01,37.22586771289877
8,72,55.381041566263555,51.61,3.7710415662635555
8,73,71.41866400903817,51.61,19.808664009038168
8,74,79.92333229944467,51.61,28.313332299444667
8,75,55.5162050835275,51.61,3.906205083527503
8,76,49.782499325961496,47.16,2.622499325961499
8,77,49.650199652340845,47.16,2.4901996523408485
8,78,70.59638794650964,47.16,23.43638794650964
8,79,51.48531230255603,47.16,4.325312302556036
8,80,38.20384154280581,37.13,1.073841542805809
8,81,38.20384153447527,37.13,1.073841534475271
8,82,38.20384152673093,37.13,1.0738415267309307
8,83,38.20384152380608,37.13,1.073841523806074
8,84,35.76384151095975,34.69,1.0738415109597526
8,85,36.25720886967916,34.69,1.5672088696791633
8,86,35.763841486146596,34.69,1.0738414861465984
8,87,35.763841458031486,34.69,1.0738414580314881
8,88,32.87376426152032,31.8,1.0737642615203207
8,89,32.873724740720476,31.8,1.0737247407204755
8,90,32.873724729585646,31.8,1.0737247295856456
8,91,32.87372464668236,31.8,1.0737246466823613
8,92,35.15340578023485,26.21,8.943405780234848
8,93,38.90740838171423,26.21,12.697408381714226
8,94,66.12065890177641,26.21,39.91065890177641
8,95,48.03384884258024,26.21,21.82384884258024
10,0,49.57438949317043,31.0,18.57438949317043
10,1,41.2980105804054,31.0,10.298010580405403
10,2,40.912911860859275,31.0,9.912911860859275
10,3,41.30461200370726,31.0,10.304612003707263
10,4,32.0211653985149,30.94,1.0811653985149015
10,5,40.983327040119896,30.94,10.043327040119895
10,6,37.82382431593198,30.94,6.883824315931978
10,7,37.39168532849692,30.94,6.451685328496918
10,8,37.25070921688437,31.32,5.930709216884367
10,9,35.71703034661925,31.32,4.397030346619246
10,10,38.88467778387755,31.32,7.564677783877549
10,11,35.35782707636147,31.32,4.0378270763614665
10,12,37.80086455063285,29.03,8.77086455063285
10,13,35.647951572077986,29.03,6.617951572077985
10,14,30.105645404020343,29.03,1.0756454040203423
10,15,34.486518673522305,29.03,5.456518673522304
10,16,29.16824067591095,28.2,0.9682406759109519
